iter	Passed	Remaining
0	19	4802
1	38	4722
2	56	4678
3	76	4713
4	99	4859
5	122	4971
6	141	4922
7	157	4752
8	172	4624
9	188	4512
10	202	4406
11	219	4345
12	234	4276
13	250	4220
14	267	4188
15	284	4167
16	301	4129
17	317	4091
18	333	4058
19	350	4027
20	366	3997
21	382	3967
22	399	3939
23	415	3911
24	431	3884
25	448	3863
26	464	3837
27	481	3815
28	497	3792
29	513	3764
30	531	3752
31	548	3734
32	565	3717
33	582	3699
34	600	3687
35	617	3669
36	635	3659
37	652	3638
38	668	3616
39	685	3598
40	702	3581
41	718	3560
42	735	3540
43	752	3521
44	771	3515
45	790	3503
46	806	3482
47	822	3462
48	839	3441
49	855	3420
50	871	3398
51	887	3377
52	903	3359
53	919	3339
54	935	3317
55	951	3297
56	968	3278
57	984	3258
58	1000	3239
59	1018	3225
60	1036	3212
61	1053	3195
62	1070	3177
63	1086	3158
64	1103	3141
65	1120	3122
66	1136	3104
67	1153	3086
68	1169	3066
69	1185	3048
70	1202	3030
71	1218	3012
72	1235	2995
73	1251	2976
74	1268	2958
75	1284	2939
76	1300	2921
77	1316	2903
78	1333	2885
79	1349	2868
80	1365	2849
81	1381	2830
82	1397	2811
83	1414	2795
84	1431	2778
85	1448	2763
86	1465	2746
87	1483	2730
88	1499	2712
89	1515	2694
90	1531	2676
91	1548	2659
92	1565	2642
93	1582	2626
94	1600	2611
95	1620	2599
96	1637	2582
97	1653	2565
98	1670	2547
99	1686	2530
100	1703	2512
101	1719	2495
102	1736	2478
103	1752	2460
104	1769	2443
105	1786	2426
106	1802	2409
107	1819	2391
108	1835	2374
109	1852	2357
110	1869	2340
111	1885	2323
112	1902	2306
113	1917	2287
114	1933	2270
115	1951	2254
116	1968	2237
117	1984	2220
118	2001	2202
119	2017	2185
120	2034	2169
121	2051	2152
122	2074	2142
123	2092	2126
124	2108	2108
125	2125	2091
126	2142	2074
127	2158	2057
128	2175	2040
129	2191	2023
130	2208	2005
131	2224	1988
132	2241	1971
133	2257	1954
134	2274	1937
135	2290	1919
136	2306	1902
137	2322	1884
138	2338	1867
139	2355	1850
140	2373	1835
141	2396	1822
142	2416	1808
143	2432	1790
144	2448	1773
145	2464	1755
146	2481	1738
147	2498	1721
148	2514	1704
149	2531	1687
150	2546	1669
151	2564	1653
152	2581	1636
153	2597	1619
154	2614	1602
155	2630	1585
156	2646	1567
157	2665	1551
158	2688	1538
159	2709	1523
160	2725	1506
161	2747	1492
162	2769	1478
163	2788	1462
164	2804	1444
165	2820	1427
166	2837	1410
167	2854	1393
168	2872	1376
169	2889	1359
170	2907	1343
171	2924	1326
172	2940	1308
173	2956	1291
174	2972	1273
175	2988	1256
176	3004	1239
177	3020	1221
178	3037	1204
179	3054	1187
180	3070	1170
181	3086	1153
182	3104	1136
183	3121	1119
184	3137	1102
185	3154	1085
186	3170	1068
187	3186	1050
188	3202	1033
189	3218	1016
190	3235	999
191	3252	982
192	3268	965
193	3284	948
194	3300	930
195	3316	913
196	3332	896
197	3350	880
198	3366	862
199	3382	845
200	3399	828
201	3415	811
202	3432	794
203	3448	777
204	3467	761
205	3483	744
206	3500	727
207	3516	710
208	3533	693
209	3550	676
210	3566	659
211	3584	642
212	3600	625
213	3616	608
214	3632	591
215	3649	574
216	3665	557
217	3683	540
218	3699	523
219	3715	506
220	3732	489
221	3749	472
222	3765	455
223	3781	438
224	3798	422
225	3814	405
226	3831	388
227	3847	371
228	3864	354
229	3881	337
230	3897	320
231	3914	303
232	3931	286
233	3947	269
234	3964	253
235	3980	236
236	3996	219
237	4013	202
238	4029	185
239	4046	168
240	4063	151
241	4079	134
242	4096	117
243	4112	101
244	4129	84
245	4145	67
246	4162	50
247	4178	33
248	4195	16
249	4212	0
